사용자,평점,댓글 내용,감정
이건영(everyhuman),2,가지가지한다.,부정
거리에서,2.5,"괜찮은 카체이싱 장면과 수위 높은 액션 장면으로 영화가 완성되는게 아닌데, 그것만으로 영화 한 편 본 거 아니냐고 말하는 것 같다.",중립
윤제아빠,3,"의외네...이거..
선입견을 완전히 해소하진 못했지만
괜찮은 카체이싱과 액션 그리고 빼어난 배우들의 연기는 칭찬받을 만하다.
단지 다리위에서 급격히 변한 은하의 감정선이 좀 갑작스럽긴 한데..
뭐 킬링타임 영화로는 꽤 괜찮다.
.
.
#베이비드라이버에다
#건파우더밀크쉐이크
#두영화를믹스했는데
#보는동안잊고볼만큼
#몰입도는충분했었다
#송새벽연기하나는짱
#개연성은접어두자구
#너무분석말고좀즐겨",긍정
박서하,2.5,감정의 폭이 깊어질수록 오락의 재미는 반감된다.,중립
다솜땅,3.5,"박소담의 와일드한 매력! ㅎ
그리고 감성+부+모성애 자극 연기!
마지막으로 자극적인 악당과 안타가운 사연 담아서 흑백의 한가운데 그래이색을 만들어버렸네…ㅎ
#22.2.4 (135)",긍정
JY,2,"아무리 지멋대로 망하더라도
아역 하나는 어떻게든 건져내 희석시키는게
요즘 트렌드이거늘...
그마저도 이작품은 시원~하게...

어른들이 나쁜놈들이지
현준님 잘못은 아니에요",부정
bin,3.5,"박소담이 레옹, 원빈, 라이언 고슬링이 되니까 그 흔해빠진 한국영화 조폭 감성도 참을 만하고 봐줄 만하다",긍정
황재윤,2,익숙한 설정들을 죄다 끌어 모아서 마치 개성 넘치다는듯 포장한거 같다.,부정
리얼리스트,2,청승맞은 이야기와 추격전  사이에서 갈팡질팡,부정
이건영(everyhuman),2,가지가지한다.,부정
거리에서,2.5,"괜찮은 카체이싱 장면과 수위 높은 액션 장면으로 영화가 완성되는게 아닌데, 그것만으로 영화 한 편 본 거 아니냐고 말하는 것 같다.",중립
윤제아빠,3,"의외네...이거..
선입견을 완전히 해소하진 못했지만
괜찮은 카체이싱과 액션 그리고 빼어난 배우들의 연기는 칭찬받을 만하다.
단지 다리위에서 급격히 변한 은하의 감정선이 좀 갑작스럽긴 한데..
뭐 킬링타임 영화로는 꽤 괜찮다.
.
.
#베이비드라이버에다
#건파우더밀크쉐이크
#두영화를믹스했는데
#보는동안잊고볼만큼
#몰입도는충분했었다
#송새벽연기하나는짱
#개연성은접어두자구
#너무분석말고좀즐겨",긍정
박서하,2.5,감정의 폭이 깊어질수록 오락의 재미는 반감된다.,중립
다솜땅,3.5,"박소담의 와일드한 매력! ㅎ
그리고 감성+부+모성애 자극 연기!
마지막으로 자극적인 악당과 안타가운 사연 담아서 흑백의 한가운데 그래이색을 만들어버렸네…ㅎ
#22.2.4 (135)",긍정
JY,2,"아무리 지멋대로 망하더라도
아역 하나는 어떻게든 건져내 희석시키는게
요즘 트렌드이거늘...
그마저도 이작품은 시원~하게...

어른들이 나쁜놈들이지
현준님 잘못은 아니에요",부정
bin,3.5,"박소담이 레옹, 원빈, 라이언 고슬링이 되니까 그 흔해빠진 한국영화 조폭 감성도 참을 만하고 봐줄 만하다",긍정
황재윤,2,익숙한 설정들을 죄다 끌어 모아서 마치 개성 넘치다는듯 포장한거 같다.,부정
리얼리스트,2,청승맞은 이야기와 추격전  사이에서 갈팡질팡,부정
이건영(everyhuman),2,가지가지한다.,부정
거리에서,2.5,"괜찮은 카체이싱 장면과 수위 높은 액션 장면으로 영화가 완성되는게 아닌데, 그것만으로 영화 한 편 본 거 아니냐고 말하는 것 같다.",중립
