사용자,평점,댓글 내용,감정
이동진 평론가,2,사운드가 핵심인 소재를 다루는데도 소리에 대해 둔하다.,부정
영화보고 밥먹고 커피마시고 산책해요,1.5,"데시벨이랑 별 상관도 없잖아..

왜 제목을 이렇게 지었어!!
감독 딱 대~! C벨 ..진짜 어디서 낚시질이여~",부정
무비신,2.5,"액션, 유머, 감동을 다 잡으려다 다 놓치고 신선한 소재라는 선명성만 남았다.",중립
박서하,2,"서스펜스 오작동, 플래시백도 오작동.",부정
Dh,2,"이영화 끝까지 보기 마이 힘들어따
#우매하게 울리는 데'시벨'
#메가박스",부정
홍석호,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
리얼리스트,2,군인. 직업군인이라면 제일 싫어할 영화,부정
JY,1.5,"내용과 맞지않은 제품명
예고편은 과대광고
본편은 함량미달 혼합물",부정
5jp,1,소리에 반응하면 터진다면서 왜 재미를 음소거 시켜놓은걸까??? 재밌으면 터질까봐???,부정
전형준,0.5,축구경기장이 꽉찬다니 이거 판타지네요,부정
해리케인,1.5,"한국 잠수함이 한국 어뢰에 피격?
떳떳하면 이런 내용 예고편에 언급 좀 해줬으면 함",부정
BIGMAC_bro,2.5,"영화 제목이 <데시벨>.
소리에 반응해서 상응하는 조건에 폭탄이 터지거나
혹은 안터지거나.. 이미 그거 하나만 끌고가도 스릴 보장인데-
그걸 왜 그렇게 빨리 소비해버리는거지…

그리고 왜 ‘소리’ 에 민감하게 반응하는 폭탄을 쓴건지도
개연성이 전혀없음. 예를들면- 잠수함에서 음파 탐지병이
뭐 감지를 못해서 벌어진 것 때문에 ‘소리‘ 를 이용한 어떤
테러나 폭발물을 이용했다. 라던지 반대로 문제를 해결하는
주인공이 음파 탐지병이어서 그 특정 데시벨에 동작하는
폭탄을 찾는 다던지.. 그런 뻔하지만 연결성있는 설정도 없고.
그냥 뭔가 있어보이려는 장치로만 보여짐.

그냥 헐리우드 액션 오락영화 잘 따라하기만 해도
더 스토리가 살았을텐데.. 하는 아쉬움

<폰부스> 봐바… 안움직여도 스릴이 장난이 아닌데…
<스피드> 는 또 어때.. 일정 속도 이하로 내려가면 터지는
폭탄이 장착된 버스. 그게 벌써 거의 30년전 영화인데-

많이 아쉽다.
그리고 천안함 사건과 소설 <동해> 를 섞은 듯한 기본
줄거리는 실제 사건의 당사자들이 보기엔 불편할수도.",중립
서초동 박평식,1,스포일러가 포함되어 내용을 생략했습니다.,부정
윤제아빠,1,"영화가...하..영화가...보는내내
너무나...갑갑해서 죽을뻔했다.
.
.
#의도도시도도열연도좋으면뭐해
#미장센도구도도텐션도없는영화
#올해초볼만한한국영화가없구만",부정
소희,2.5,"대사 뭐라고 하는지 진짜 못 알아듣겠음.. 이런 영화는 자막 좀 달아줬으면,, 근데 내용이 너무 뻔해서 대사 못 알아들어도 내용 파악에 전혀 문제 없다. 걍 소리 끄고 봐도 될 정도임,, 은우 얼굴만 재밌다",중립
놀란,,영화안봐도 내용다보임,알 수 없음
인생은 한편의 영화,1.5,배우가 아깝다,부정
