사용자,평점,댓글 내용,감정
이동진 평론가,2,좁은 울타리 안에서 거친 액션만으로 뱅뱅 맴돈다.,부정
혜니,3,아저씨 저예요 핫도그,긍정
박서하,2,스타일리쉬한 척해봤자 이미 엎어진 물.,부정
무비신,2.5,신박함에서 익숙함으로 하향하는 액션 원툴.,중립
리얼리스트,2.5,"타격감있는 액션과 투박한 소재의 불협화음
액션은 인정",중립
다솜땅,3.5,"조금 완성 덜된 모습이었지만, 열정적이었고 불타올랐으며 최고의 연기들을 보여주는 씬들의 집합이었다.
노력하는 배우 윤계상이야 정평이 나있지만, 오랜만에 영화에서 보이는 박용우의 박력있는 카르스마와 광끼어린 집착의 모습들이 다른 여느 영화어서 보여주던 어떤 '쪼'를 벗어난! 이제서야 자신감을 가진 박용우의 모습이었다.
완성도가 조금만더 해졌으면, 이해시키는데 너무 돌아가지 않았다면! 더 훌륭했을 영화였지만, 요즘시기에 이정도면 충분하지!! ㅎ
#21.12.21 (1376)",긍정
팬서,2,이야기의 시작은 언제나 소재지만 결국 마무리 짓는 건 내러티브의 몫.,부정
윤제아빠,1,"영화 보다가 내정신이 이탈했다.
.
.
#정리가안되면만들지말기를
#캐릭터들이부각되지않으니
#캐릭터가아닌배우로보인다
#아무리생각이기발하다해도
#발로만든수준은어쩔수없다",부정
영화보고 밥먹고 커피마시고 산책해요,3,"신선하고 흥미로운 설정이 였지만, 12시간마다 몸이 바뀌는 이유와 그 단서를 찾아가는 플롯자체가 너무 단조롭고 손쉬워서 성의 없어 보이기까지 한다.

때문에 초반에 쌓아올린 긴장감이 후반으로 갈 수록 떨어지고, 그 정체가 궁금하던 인물들은 한순간에 개연성 없는 도구로 전락해 버린다.

속도감 있는 액션씬은 유일하게 만족스러운 부분..",긍정
이동진 평론가,2,좁은 울타리 안에서 거친 액션만으로 뱅뱅 맴돈다.,부정
혜니,3,아저씨 저예요 핫도그,긍정
박서하,2,스타일리쉬한 척해봤자 이미 엎어진 물.,부정
무비신,2.5,신박함에서 익숙함으로 하향하는 액션 원툴.,중립
리얼리스트,2.5,"타격감있는 액션과 투박한 소재의 불협화음
액션은 인정",중립
다솜땅,3.5,"조금 완성 덜된 모습이었지만, 열정적이었고 불타올랐으며 최고의 연기들을 보여주는 씬들의 집합이었다.
노력하는 배우 윤계상이야 정평이 나있지만, 오랜만에 영화에서 보이는 박용우의 박력있는 카르스마와 광끼어린 집착의 모습들이 다른 여느 영화어서 보여주던 어떤 '쪼'를 벗어난! 이제서야 자신감을 가진 박용우의 모습이었다.
완성도가 조금만더 해졌으면, 이해시키는데 너무 돌아가지 않았다면! 더 훌륭했을 영화였지만, 요즘시기에 이정도면 충분하지!! ㅎ
#21.12.21 (1376)",긍정
팬서,2,이야기의 시작은 언제나 소재지만 결국 마무리 짓는 건 내러티브의 몫.,부정
윤제아빠,1,"영화 보다가 내정신이 이탈했다.
.
.
#정리가안되면만들지말기를
#캐릭터들이부각되지않으니
#캐릭터가아닌배우로보인다
#아무리생각이기발하다해도
#발로만든수준은어쩔수없다",부정
영화보고 밥먹고 커피마시고 산책해요,3,"신선하고 흥미로운 설정이 였지만, 12시간마다 몸이 바뀌는 이유와 그 단서를 찾아가는 플롯자체가 너무 단조롭고 손쉬워서 성의 없어 보이기까지 한다.

때문에 초반에 쌓아올린 긴장감이 후반으로 갈 수록 떨어지고, 그 정체가 궁금하던 인물들은 한순간에 개연성 없는 도구로 전락해 버린다.

속도감 있는 액션씬은 유일하게 만족스러운 부분..",긍정
이동진 평론가,2,좁은 울타리 안에서 거친 액션만으로 뱅뱅 맴돈다.,부정
혜니,3,아저씨 저예요 핫도그,긍정
박서하,2,스타일리쉬한 척해봤자 이미 엎어진 물.,부정
무비신,2.5,신박함에서 익숙함으로 하향하는 액션 원툴.,중립
리얼리스트,2.5,"타격감있는 액션과 투박한 소재의 불협화음
액션은 인정",중립
